,X,Company,Model,Build_quality,OS_security_updates,Performance,Battery_life,Special,rating
1,1,Apple,Iphone 7,9,8,9,9,Brand,8.75
2,2,Apple,Iphone 7 Plus,9,9.666666667,9.666666667,9.333333333,its Apple,9.416666667
3,5,Apple,iPhone  5S,7,9,8,6,Trust of the company,7.5
4,6,Apple,iPhone se ,10,10,10,10,iPhone best quality ever had than android ,10
5,7,Asus,zenfone Max,9,7,7,9,Battery Life,8
6,8,Asus,Zenfone 5,7,4,5,4,Price and features,5
7,9,Asus,ZENFONE LASER 2,10,8,9,7,Auto focus camera ,8.5
8,10,Htc,626G ,7,7,8,7,Camera,7.25
9,11,Htc,326G,8,7,7,7,The company name and the budget restrictions. ,7.25
10,12,Htc,Desire 826,7,8,7,6,Camera and music,7
11,13,Htc,One a9,10,9,10,5,Big and both small enough to have cinema type experience(exaggerated) and fit in my pocket.,8.5
12,14,Huawei,Honor 8,10,9,10,8,The sapphire blue colour and the look.,9.25
13,15,Huawei,Honor 6X,9,9,8,9,Performance,8.75
14,16,Huawei,Honor 6,9,7,7,7,* insert honor 6 advertisement *,7.5
15,17,Lenovo,K5,7,6,5,5,Its price and also its overall performance,5.75
16,18,Lenovo,Vibe p1,6,8,7,9,the battery life and fingerprint which was just introduced in the market,7.5
17,19,Lenovo,Vibe k5,8,5,10,5,Dolby Atmos firmware,7
18,20,Lenovo,Vibe K5 note,7,4,8,6,Features at low cost,6.25
19,21,Lenovo,K3 note,6,8,5,4,Cost effective.. Less than 10k and worked almost 2 years..,5.75
20,22,Micromax,Nitro canvas,7,8,8,7,Good spec with the given budget ,7.5
21,23,Motorola,G3,7,7,7.2,7,Dirt cheap with a lot of features and the google tag,7.05
22,25,Motorola,G2,7.5,7.5,7.5,6.5,"The brand Google(then) , Lenovo (now) is the main cause.",7.3125
23,28,Motorola,G4 Plus,7.5,8,8,8,budget,7.875
24,30,Motorola,G4,5.5,7,7.5,8.5,Reliable,7.125
26,35,Nexus,6P,8.666666667,8.333333333,8.333333333,8,Naach Meri BulBul Paisa Milega,8.333333333
28,39,OnePlus,3T,9,9.25,9.5,8,Speed,8.9375
29,42,OnePlus,2,7.5,7.25,8.5,7,The camera quality & the memory also the reasonable price.,7.05
30,44,OnePlus,5,10,10,10,10,performance and camera,10
32,46,Samsung,E5,7,7,10,10,Quality,8.5
33,47,Samsung,Gmax ,6,5,6,5,Less price for good features at that time,5.5
34,48,Samsung,GOn7pro ,10,10,10,10,Cost,10
35,49,Samsung,S4 ,7,8,7,6,It's features ,7
36,50,Samsung,On 7,7,6,6,8,Size n prize,6.75
37,51,Samsung,S7,8,8,8,6,Latest tech,7.5
38,52,Samsung,J7,8,10,8,8,Front led flash,8.5
39,53,Samsung,Core 2,4,3,3,1,Sasta tha bey,2.75
40,54,Sony,Xperia Z1,7,5,6,8,Camera,6.5
41,55,Sony,C4,8,8,9,8,SONY,8.25
43,57,Sony,M5,7,7,6,6,Camera,6.5
44,58,Xiaomi,Mi3,7,7,6,6,Cheap and good performance 3 years back ,6.5
45,59,Xiaomi,Note 3,7.333333333,4,7.666666667,9,Low cost and high utility,7
46,60,Xiaomi,Note 4,8.5,8,9,9.5,Best features in low price,8.75
47,61,Xiaomi,Redmi2,8,8.5,6.5,8,Custom ROM (design),7.75
48,65,Xiaomi,Note 1s,8,7,8,7,Best phone at best price,7.5
